symbol,window,ratio,window_start,avg_close,prev_avg_close,pct_change,industry,companyName,window_start_str,summary
AAPL,1 week,0.05,2014-01-27 00:00:00+08:00,51161.98177157505,54995.17414573899,-6.97,Consumer Electronics,Apple Inc.,2014-01-27,
AAPL,1 week,0.05,2014-04-21 00:00:00+08:00,54851.92784552846,51970.82484230956,5.54,Consumer Electronics,Apple Inc.,2014-04-21,
AAPL,1 week,0.05,2014-04-28 00:00:00+08:00,59135.41451500349,54851.92784552846,7.81,Consumer Electronics,Apple Inc.,2014-04-28,
AAPL,1 week,0.05,2014-06-09 00:00:00+08:00,9312.425962348974,64026.318026045235,-85.46,Consumer Electronics,Apple Inc.,2014-06-09,
AAPL,1 week,0.05,2015-08-03 00:00:00+08:00,11610.348973607039,12265.070723160243,-5.34,Consumer Electronics,Apple Inc.,2015-08-03,
AAPL,1 week,0.05,2015-12-14 00:00:00+08:00,11033.696043165468,11645.364701826957,-5.25,Consumer Electronics,Apple Inc.,2015-12-14,
AAPL,1 week,0.05,2016-01-04 00:00:00+08:00,10051.254453602764,10718.606991025035,-6.23,Consumer Electronics,Apple Inc.,2016-01-04,
AAPL,1 week,0.05,2016-04-25 00:00:00+08:00,9881.582830892909,10680.673785738893,-7.48,Consumer Electronics,Apple Inc.,2016-04-25,
AAPL,1 week,0.05,2016-05-02 00:00:00+08:00,9369.14995067412,9881.582830892909,-5.19,Consumer Electronics,Apple Inc.,2016-05-02,
AAPL,1 week,0.05,2017-06-12 00:00:00+08:00,14485.708026862809,15399.072368421052,-5.93,Consumer Electronics,Apple Inc.,2017-06-12,
AAPL,1 week,0.05,2017-10-30 00:00:00+08:00,16888.479214123006,15786.324789325845,6.98,Consumer Electronics,Apple Inc.,2017-10-30,
AAPL,1 week,0.05,2018-02-12 00:00:00+08:00,16711.879697057968,15881.508313539192,5.23,Consumer Electronics,Apple Inc.,2018-02-12,
AAPL,1 week,0.05,2018-04-23 00:00:00+08:00,16424.776532630192,17433.808063404547,-5.79,Consumer Electronics,Apple Inc.,2018-04-23,
AAPL,1 week,0.05,2018-04-30 00:00:00+08:00,17365.924596549805,16424.776532630192,5.73,Consumer Electronics,Apple Inc.,2018-04-30,
AAPL,1 week,0.05,2018-05-07 00:00:00+08:00,18705.59860788863,17365.924596549805,7.71,Consumer Electronics,Apple Inc.,2018-05-07,
AAPL,1 week,0.05,2018-11-12 00:00:00+08:00,19216.130434782608,20502.67686692869,-6.28,Consumer Electronics,Apple Inc.,2018-11-12,
AAPL,1 week,0.05,2018-11-19 00:00:00+08:00,18039.499631811486,19216.130434782608,-6.12,Consumer Electronics,Apple Inc.,2018-11-19,
AAPL,1 week,0.05,2018-12-24 00:00:00+08:00,15293.70127363952,16158.235921754595,-5.35,Consumer Electronics,Apple Inc.,2018-12-24,
AAPL,1 week,0.05,2019-02-04 00:00:00+08:00,17185.80280373832,16209.731161473088,6.02,Consumer Electronics,Apple Inc.,2019-02-04,
AAPL,1 week,0.05,2019-05-13 00:00:00+08:00,18884.33323244552,20242.618748128185,-6.71,Consumer Electronics,Apple Inc.,2019-05-13,
AAPL,1 week,0.05,2019-06-10 00:00:00+08:00,19379.023981603154,18146.454574638843,6.79,Consumer Electronics,Apple Inc.,2019-06-10,
AAPL,1 week,0.05,2019-08-05 00:00:00+08:00,19785.83128395768,21109.254184397163,-6.27,Consumer Electronics,Apple Inc.,2019-08-05,
AAPL,1 week,0.05,2020-02-24 00:00:00+08:00,28649.93298969072,31889.57148120855,-10.16,Consumer Electronics,Apple Inc.,2020-02-24,
AAPL,1 week,0.05,2020-03-09 00:00:00+08:00,26831.475409836065,29205.069411201534,-8.13,Consumer Electronics,Apple Inc.,2020-03-09,
AAPL,1 week,0.05,2020-03-16 00:00:00+08:00,24656.547696603073,26831.475409836065,-8.11,Consumer Electronics,Apple Inc.,2020-03-16,
AAPL,1 week,0.05,2020-04-06 00:00:00+08:00,26249.296223958332,24740.21593690509,6.1,Consumer Electronics,Apple Inc.,2020-04-06,
AAPL,1 week,0.05,2020-04-13 00:00:00+08:00,28197.357967667434,26249.296223958332,7.42,Consumer Electronics,Apple Inc.,2020-04-13,
AAPL,1 week,0.05,2020-06-08 00:00:00+08:00,34157.62404526167,32352.539301310044,5.58,Consumer Electronics,Apple Inc.,2020-06-08,
AAPL,1 week,0.05,2020-08-03 00:00:00+08:00,44187.48148148148,38804.78368223296,13.87,Consumer Electronics,Apple Inc.,2020-08-03,
AAPL,1 week,0.05,2020-08-24 00:00:00+08:00,50293.11211108254,46946.112652608215,7.13,Consumer Electronics,Apple Inc.,2020-08-24,
AAPL,1 week,0.05,2020-08-31 00:00:00+08:00,12756.754792500527,50293.11211108254,-74.64,Consumer Electronics,Apple Inc.,2020-08-31,
